n,t,y
1000,3.5550,-0.645084
1000,3.5600,-0.646437
1000,3.5650,-0.647774
1000,3.5700,-0.649094
1000,3.5750,-0.650396
1000,3.5800,-0.651682
1000,3.5850,-0.652951
1000,3.5900,-0.654202
1000,3.5950,-0.655437
1000,3.6000,-0.656655
1000,3.6050,-0.657855
1000,3.6100,-0.659039
1000,3.6150,-0.660205
1000,3.6200,-0.661354
1000,3.6250,-0.662486
1000,3.6300,-0.663600
1000,3.6350,-0.664698
1000,3.6400,-0.665778
1000,3.6450,-0.666841
1000,3.6500,-0.667886
1000,3.6550,-0.668915
1000,3.6600,-0.669925
1000,3.6650,-0.670919
1000,3.6700,-0.671895
1000,3.6750,-0.672853
1000,3.6800,-0.673794
1000,3.6850,-0.674718
1000,3.6900,-0.675624
1000,3.6950,-0.676513
1000,3.7000,-0.677384
1000,3.7050,-0.678238
1000,3.7100,-0.679074
1000,3.7150,-0.679892
1000,3.7200,-0.680693
1000,3.7250,-0.681476
1000,3.7300,-0.682242
1000,3.7350,-0.682990
1000,3.7400,-0.683720
1000,3.7450,-0.684432
1000,3.7500,-0.685127
1000,3.7550,-0.685805
1000,3.7600,-0.686464
1000,3.7650,-0.687106
1000,3.7700,-0.687730
1000,3.7750,-0.688336
1000,3.7800,-0.688924
1000,3.7850,-0.689495
1000,3.7900,-0.690048
1000,3.7950,-0.690583
1000,3.8000,-0.691100
1000,3.8050,-0.691599
1000,3.8100,-0.692081
1000,3.8150,-0.692544
1000,3.8200,-0.692990
1000,3.8250,-0.693418
1000,3.8300,-0.693828
1000,3.8350,-0.694220
1000,3.8400,-0.694594
1000,3.8450,-0.694951
1000,3.8500,-0.695289
1000,3.8550,-0.695610
1000,3.8600,-0.695912
1000,3.8650,-0.696197
1000,3.8700,-0.696464
1000,3.8750,-0.696713
1000,3.8800,-0.696944
1000,3.8850,-0.697157
1000,3.8900,-0.697352
1000,3.8950,-0.697529
1000,3.9000,-0.697688
1000,3.9050,-0.697829
1000,3.9100,-0.697952
1000,3.9150,-0.698058
1000,3.9200,-0.698145
1000,3.9250,-0.698215
1000,3.9300,-0.698266
1000,3.9350,-0.698300
1000,3.9400,-0.698315
1000,3.9450,-0.698313
1000,3.9500,-0.698293
1000,3.9550,-0.698254
1000,3.9600,-0.698198
1000,3.9650,-0.698124
1000,3.9700,-0.698032
1000,3.9750,-0.697922
1000,3.9800,-0.697795
1000,3.9850,-0.697649
1000,3.9900,-0.697485
1000,3.9950,-0.697304
1000,4.0000,-0.697104
1000,4.0050,-0.696887
1000,4.0100,-0.696652
1000,4.0150,-0.696399
1000,4.0200,-0.696128
1000,4.0250,-0.695839
1000,4.0300,-0.695532
1000,4.0350,-0.695208
1000,4.0400,-0.694866
1000,4.0450,-0.694506
1000,4.0500,-0.694128
1000,4.0550,-0.693732
1000,4.0600,-0.693319
1000,4.0650,-0.692888
1000,4.0700,-0.692439
1000,4.0750,-0.691972
1000,4.0800,-0.691488
1000,4.0850,-0.690986
1000,4.0900,-0.690466
1000,4.0950,-0.689929
1000,4.1000,-0.689373
1000,4.1050,-0.688801
1000,4.1100,-0.688210
1000,4.1150,-0.687602
1000,4.1200,-0.686977
1000,4.1250,-0.686334
1000,4.1300,-0.685673
1000,4.1350,-0.684995
1000,4.1400,-0.684299
1000,4.1450,-0.683586
1000,4.1500,-0.682855
1000,4.1550,-0.682107
1000,4.1600,-0.681341
1000,4.1650,-0.680558
1000,4.1700,-0.679757
1000,4.1750,-0.678939
1000,4.1800,-0.678104
1000,4.1850,-0.677252
1000,4.1900,-0.676382
1000,4.1950,-0.675495
1000,4.2000,-0.674590
1000,4.2050,-0.673669
1000,4.2100,-0.672730
1000,4.2150,-0.671774
1000,4.2200,-0.670800
1000,4.2250,-0.669810
1000,4.2300,-0.668803
1000,4.2350,-0.667778
1000,4.2400,-0.666737
1000,4.2450,-0.665678
1000,4.2500,-0.664602
1000,4.2550,-0.663510
1000,4.2600,-0.662400
1000,4.2650,-0.661274
1000,4.2700,-0.660130
1000,4.2750,-0.658970
1000,4.2800,-0.657793
1000,4.2850,-0.656600
1000,4.2900,-0.655389
1000,4.2950,-0.654162
1000,4.3000,-0.652918
1000,4.3050,-0.651657
1000,4.3100,-0.650380
1000,4.3150,-0.649086
1000,4.3200,-0.647776
1000,4.3250,-0.646449
1000,4.3300,-0.645106
1000,4.3350,-0.643746
1000,4.3400,-0.642370
